PromoID,PromoName,StartDate,EndDate,ProductID,ChannelID,LocationID,PromoLevel,DiscountPct,UpliftPct,Notes
P0001,SUMMER RETAIL Promo 0001,2023-07-10,2023-07-19,PEAR_FAMILY,RETAIL,NL-GE,221,5,10,season=SUMMER; group=RETAIL; uplift=f(discount)+noise
P0002,SUMMER RETAIL Promo 0002,2023-08-12,2023-08-18,APPLE_FAMILY,RETAIL,NL-NB,221,25,46,season=SUMMER; group=RETAIL; uplift=f(discount)+noise
P0003,SUMMER RETAIL Promo 0003,2023-08-21,2023-09-03,APPLE_GALA,PLUS,NL-NH,111,15,29,season=SUMMER; group=RETAIL; uplift=f(discount)+noise
P0004,WINTER RETAIL Promo 0004,2023-02-14,2023-02-20,PEAR_COMICE,PLUS,NL-GE,111,5,15,season=WINTER; group=RETAIL; uplift=f(discount)+noise
P0005,SUMMER RETAIL Promo 0005,2023-06-08,2023-06-14,PEAR_CONFERENCE,AH,NL-ZH,111,8,16,season=SUMMER; group=RETAIL; uplift=f(discount)+noise
P0006,SUMMER WHOLESALE Promo 0006,2023-08-01,2023-08-07,APPLE_JONAGOLD,GREENACRES,NL-GE,111,20,25,season=SUMMER; group=WHOLESALE; uplift=f(discount)+noise
P0007,WINTER RETAIL Promo 0007,2023-02-07,2023-02-16,PEAR_FAMILY,RETAIL,NL-NH,221,15,26,season=WINTER; group=RETAIL; uplift=f(discount)+noise
P0008,WINTER RETAIL Promo 0008,2023-12-15,2023-12-21,PEAR_WILLIAMS,JUMBO,NL-NH,111,15,33,season=WINTER; group=RETAIL; uplift=f(discount)+noise
P0009,SUMMER RETAIL Promo 0009,2023-08-13,2023-08-19,PEAR_ABATE,AH,NL-ZH,111,12,28,season=SUMMER; group=RETAIL; uplift=f(discount)+noise
P0010,WINTER RETAIL Promo 0010,2023-02-09,2023-02-15,PEAR_FAMILY,RETAIL,NL-GE,221,15,29,season=WINTER; group=RETAIL; uplift=f(discount)+noise
P0011,SHOULDER RETAIL Promo 0011,2023-03-30,2023-04-05,PEAR_COMICE,JUMBO,NL-NH,111,5,10,season=SHOULDER; group=RETAIL; uplift=f(discount)+noise
P0012,SUMMER RETAIL Promo 0012,2023-06-15,2023-06-21,APPLE_JONAGOLD,AH,NL-NB,111,10,21,season=SUMMER; group=RETAIL; uplift=f(discount)+noise
P0013,SHOULDER2 RETAIL Promo 0013,2023-10-04,2023-10-13,APPLE_FAMILY,RETAIL,NL-GE,221,10,26,season=SHOULDER2; group=RETAIL; uplift=f(discount)+noise
P0014,WINTER RETAIL Promo 0014,2023-02-02,2023-02-08,APPLE_JONAGOLD,JUMBO,NL-NB,111,20,41,season=WINTER; group=RETAIL; uplift=f(discount)+noise
P0015,SHOULDER RETAIL Promo 0015,2023-03-02,2023-03-11,APPLE_GALA,AH,NL-GE,111,12,25,season=SHOULDER; group=RETAIL; uplift=f(discount)+noise
P0016,WINTER RETAIL Promo 0016,2023-12-21,2023-12-27,PEAR_CONFERENCE,AH,NL-NH,111,10,23,season=WINTER; group=RETAIL; uplift=f(discount)+noise
P0017,SUMMER ONLINE Promo 0017,2023-07-12,2023-07-21,APPLE_GRANNY_SMITH,PICNIC,NL-ZH,111,5,7,season=SUMMER; group=ONLINE; uplift=f(discount)+noise
P0018,SUMMER RETAIL Promo 0018,2023-08-12,2023-08-25,APPLE_JONAGOLD,JUMBO,NL-GE,111,15,24,season=SUMMER; group=RETAIL; uplift=f(discount)+noise
P0019,WINTER RETAIL Promo 0019,2024-12-12,2024-12-25,PEAR_COMICE,AH,NL-GE,111,8,16,season=WINTER; group=RETAIL; uplift=f(discount)+noise
P0020,SUMMER RETAIL Promo 0020,2024-08-01,2024-08-10,APPLE_GALA,JUMBO,NL-NH,111,5,13,season=SUMMER; group=RETAIL; uplift=f(discount)+noise
P0021,SHOULDER RETAIL Promo 0021,2024-04-12,2024-04-18,PEAR_ABATE,PLUS,NL-GE,111,25,47,season=SHOULDER; group=RETAIL; uplift=f(discount)+noise
P0022,WINTER RETAIL Promo 0022,2024-12-08,2024-12-14,PEAR_FAMILY,RETAIL,NL-GE,221,25,47,season=WINTER; group=RETAIL; uplift=f(discount)+noise
P0023,SUMMER WHOLESALE Promo 0023,2024-07-14,2024-07-23,PEAR_COMICE,SLIGRO,NL-ZH,111,15,22,season=SUMMER; group=WHOLESALE; uplift=f(discount)+noise
P0024,WINTER ONLINE Promo 0024,2024-02-04,2024-02-10,PEAR_CONFERENCE,FLINK,NL-ZH,111,20,30,season=WINTER; group=ONLINE; uplift=f(discount)+noise
P0025,WINTER RETAIL Promo 0025,2024-02-15,2024-02-28,APPLE_ELSTAR,AH,NL-GE,111,12,25,season=WINTER; group=RETAIL; uplift=f(discount)+noise
P0026,WINTER RETAIL Promo 0026,2024-12-08,2024-12-14,PEAR_WILLIAMS,JUMBO,NL-GE,111,15,26,season=WINTER; group=RETAIL; uplift=f(discount)+noise
P0027,WINTER RETAIL Promo 0027,2024-12-14,2024-12-27,PEAR_CONFERENCE,PLUS,NL-NH,111,10,21,season=WINTER; group=RETAIL; uplift=f(discount)+noise
P0028,SHOULDER2 RETAIL Promo 0028,2024-10-31,2024-11-06,APPLE_ELSTAR,AH,NL-NB,111,12,26,season=SHOULDER2; group=RETAIL; uplift=f(discount)+noise
P0029,SUMMER ONLINE Promo 0029,2024-06-17,2024-06-30,PEAR_COMICE,FLINK,NL-GE,111,12,19,season=SUMMER; group=ONLINE; uplift=f(discount)+noise
P0030,WINTER WHOLESALE Promo 0030,2024-01-06,2024-01-12,APPLE_GRANNY_SMITH,GREENACRES,NL-GE,111,15,17,season=WINTER; group=WHOLESALE; uplift=f(discount)+noise
P0031,SUMMER WHOLESALE Promo 0031,2024-07-19,2024-07-25,PEAR_ABATE,HOLLANDFOODSERVICE,NL-NH,111,15,25,season=SUMMER; group=WHOLESALE; uplift=f(discount)+noise
P0032,SHOULDER RETAIL Promo 0032,2024-03-07,2024-03-13,APPLE_JONAGOLD,AH,NL-NH,111,8,21,season=SHOULDER; group=RETAIL; uplift=f(discount)+noise
P0033,WINTER RETAIL Promo 0033,2024-12-22,2024-12-28,PEAR_WILLIAMS,AH,NL-NH,111,5,15,season=WINTER; group=RETAIL; uplift=f(discount)+noise
P0034,SHOULDER RETAIL Promo 0034,2024-04-06,2024-04-19,PEAR_CONFERENCE,AH,NL-NB,111,5,14,season=SHOULDER; group=RETAIL; uplift=f(discount)+noise
P0035,SUMMER RETAIL Promo 0035,2024-08-25,2024-08-31,PEAR_FAMILY,RETAIL,NL-NB,221,20,39,season=SUMMER; group=RETAIL; uplift=f(discount)+noise
P0036,SHOULDER2 WHOLESALE Promo 0036,2024-09-10,2024-09-23,PEAR_WILLIAMS,SLIGRO,NL-NB,111,20,25,season=SHOULDER2; group=WHOLESALE; uplift=f(discount)+noise
P0037,SUMMER RETAIL Promo 0037,2025-08-28,2025-09-03,APPLE_GALA,JUMBO,NL-GE,111,10,23,season=SUMMER; group=RETAIL; uplift=f(discount)+noise
P0038,WINTER RETAIL Promo 0038,2025-01-07,2025-01-13,PEAR_COMICE,AH,NL-NH,111,10,21,season=WINTER; group=RETAIL; uplift=f(discount)+noise
P0039,SHOULDER2 ONLINE Promo 0039,2025-11-17,2025-11-23,APPLE_ELSTAR,HELLOFRESH,NL-ZH,111,12,26,season=SHOULDER2; group=ONLINE; uplift=f(discount)+noise
P0040,WINTER RETAIL Promo 0040,2025-02-07,2025-02-16,APPLE_FAMILY,RETAIL,NL-GE,221,8,21,season=WINTER; group=RETAIL; uplift=f(discount)+noise
P0041,WINTER RETAIL Promo 0041,2025-12-20,2025-12-26,APPLE_FAMILY,RETAIL,NL-NB,221,25,46,season=WINTER; group=RETAIL; uplift=f(discount)+noise
P0042,SHOULDER RETAIL Promo 0042,2025-05-13,2025-05-22,APPLE_GALA,JUMBO,NL-NH,111,25,46,season=SHOULDER; group=RETAIL; uplift=f(discount)+noise
P0043,SUMMER RETAIL Promo 0043,2025-06-01,2025-06-07,PEAR_FAMILY,RETAIL,NL-NB,221,12,25,season=SUMMER; group=RETAIL; uplift=f(discount)+noise
P0044,SHOULDER2 RETAIL Promo 0044,2025-10-15,2025-10-21,APPLE_GRANNY_SMITH,PLUS,NL-NB,111,5,18,season=SHOULDER2; group=RETAIL; uplift=f(discount)+noise
P0045,WINTER RETAIL Promo 0045,2025-02-03,2025-02-12,APPLE_JONAGOLD,AH,NL-GE,111,10,19,season=WINTER; group=RETAIL; uplift=f(discount)+noise
P0046,SUMMER ONLINE Promo 0046,2025-06-15,2025-06-21,PEAR_FAMILY,ONLINE,NL-ZH,221,15,22,season=SUMMER; group=ONLINE; uplift=f(discount)+noise
P0047,SUMMER RETAIL Promo 0047,2025-07-30,2025-08-08,PEAR_FAMILY,RETAIL,NL-GE,221,25,48,season=SUMMER; group=RETAIL; uplift=f(discount)+noise
P0048,SUMMER RETAIL Promo 0048,2025-07-29,2025-08-07,APPLE_FAMILY,RETAIL,NL-ZH,221,5,18,season=SUMMER; group=RETAIL; uplift=f(discount)+noise
P0049,SUMMER RETAIL Promo 0049,2025-06-02,2025-06-15,APPLE_FAMILY,RETAIL,NL-ZH,221,20,34,season=SUMMER; group=RETAIL; uplift=f(discount)+noise
P0050,SHOULDER RETAIL Promo 0050,2025-05-20,2025-05-26,APPLE_GALA,PLUS,NL-NB,111,25,44,season=SHOULDER; group=RETAIL; uplift=f(discount)+noise
P0051,WINTER RETAIL Promo 0051,2025-01-21,2025-01-30,PEAR_ABATE,AH,NL-NH,111,8,18,season=WINTER; group=RETAIL; uplift=f(discount)+noise
P0052,SUMMER RETAIL Promo 0052,2025-06-04,2025-06-17,PEAR_WILLIAMS,PLUS,NL-NB,111,10,15,season=SUMMER; group=RETAIL; uplift=f(discount)+noise
P0053,SUMMER RETAIL Promo 0053,2025-08-15,2025-08-21,APPLE_GALA,AH,NL-GE,111,8,23,season=SUMMER; group=RETAIL; uplift=f(discount)+noise
P0054,WINTER RETAIL Promo 0054,2025-02-09,2025-02-15,APPLE_GALA,JUMBO,NL-NB,111,15,35,season=WINTER; group=RETAIL; uplift=f(discount)+noise
